,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
А,55.0,0.3333333333333333,"(4.654545454545454, 9.618181818181819)","(0.3654545454545454, 0.6155844155844157)","(488.9818181818179, 298.4363636363636)","(0.6209938117668791, 0.379006188233121)"
Б,58.0,0.38666666666666666,"(3.896551724137931, 9.120689655172415)","(0.3218390804597701, 0.5800492610837439)","(646.1551724137931, 297.3793103448276)","(0.6848241206030151, 0.31517587939698494)"
В,61.0,0.4066666666666666,"(4.262295081967213, 9.01639344262295)","(0.3624772313296904, 0.572599531615925)","(710.9836065573768, 371.8032786885246)","(0.6566237698713095, 0.34337623012869045)"
Г,32.0,0.26666666666666666,"(2.59375, 7.59375)","(0.22767857142857142, 0.47098214285714285)","(361.71875, 109.71875)","(0.7672676653851253, 0.23273233461487472)"
Д,75.0,0.3472222222222222,"(5.24, 10.093333333333334)","(0.3854545454545455, 0.5349019607843137)","(1150.3466666666677, 749.6800000000001)","(0.6054371166720469, 0.3945628833279531)"
Е,52.0,0.3851851851851852,"(3.519230769230769, 9.096153846153847)","(0.31490384615384615, 0.5782967032967034)","(634.519230769231, 220.98076923076923)","(0.7416940160949512, 0.2583059839050487)"
Ё,60.0,0.4444444444444445,"(3.5833333333333335, 8.216666666666667)","(0.3229166666666667, 0.5154761904761905)","(938.1833333333327, 242.58333333333343)","(0.7945543855686981, 0.20544561443130185)"
Ж,90.0,0.4,"(7.088888888888889, 9.144444444444444)","(0.4349206349206349, 0.5817460317460317)","(915.1222222222207, 1041.2888888888897)","(0.46775558420463714, 0.5322444157953629)"
З,47.0,0.34814814814814815,"(4.723404255319149, 9.212765957446809)","(0.46542553191489366, 0.5866261398176292)","(517.8723404255319, 187.40425531914892)","(0.7342826113189334, 0.26571738868106676)"
И,63.0,0.38181818181818183,"(5.031746031746032, 9.015873015873016)","(0.4031746031746032, 0.572562358276644)","(532.9841269841269, 585.9365079365082)","(0.4763377404528171, 0.5236622595471827)"
Й,69.0,0.41818181818181815,"(5.0144927536231885, 8.44927536231884)","(0.40144927536231884, 0.5320910973084886)","(767.072463768116, 596.9855072463769)","(0.5623459413514662, 0.43765405864853374)"
К,53.0,0.3212121212121212,"(3.9245283018867925, 9.169811320754716)","(0.29245283018867924, 0.5835579514824797)","(507.47169811320754, 303.69811320754724)","(0.625604763676963, 0.3743952363230369)"
Л,54.0,0.32727272727272727,"(5.2407407407407405, 8.666666666666666)","(0.42407407407407405, 0.5476190476190476)","(629.9999999999997, 495.8703703703705)","(0.559567083902166, 0.44043291609783397)"
М,79.0,0.40512820512820513,"(5.974683544303797, 9.012658227848101)","(0.41455696202531644, 0.5723327305605787)","(692.9873417721515, 1045.9493670886081)","(0.3985121127416722, 0.6014878872583278)"
Н,54.0,0.32727272727272727,"(5.0, 9.092592592592593)","(0.4, 0.5780423280423281)","(444.537037037037, 570.0)","(0.43816738158255, 0.56183261841745)"
О,60.0,0.3636363636363636,"(5.366666666666666, 9.0)","(0.43666666666666665, 0.5714285714285714)","(632.0, 549.9333333333334)","(0.5347171301257826, 0.4652828698742174)"
П,54.0,0.32727272727272727,"(5.0, 8.166666666666666)","(0.4, 0.5119047619047619)","(607.5, 570.0)","(0.5159235668789809, 0.4840764331210191)"
Р,50.0,0.3333333333333333,"(3.82, 8.16)","(0.3133333333333333, 0.5114285714285715)","(422.7200000000001, 291.38000000000017)","(0.591961910096625, 0.408038089903375)"
С,50.0,0.30303030303030304,"(4.58, 9.0)","(0.358, 0.5714285714285714)","(618.0, 358.17999999999995)","(0.6330799647605975, 0.36692003523940253)"
Т,36.0,0.26666666666666666,"(4.25, 7.25)","(0.40625, 0.44642857142857145)","(396.75, 126.75)","(0.7578796561604585, 0.24212034383954154)"
У,42.0,0.28,"(4.119047619047619, 8.285714285714286)","(0.3465608465608465, 0.5204081632653061)","(382.57142857142856, 196.40476190476187)","(0.6607722992145414, 0.3392277007854587)"
Ф,77.0,0.3948717948717949,"(6.0, 9.0)","(0.4166666666666667, 0.5714285714285714)","(622.0, 636.0)","(0.4944356120826709, 0.505564387917329)"
Х,49.0,0.29696969696969694,"(4.755102040816326, 9.0)","(0.3755102040816326, 0.5714285714285714)","(530.0, 259.06122448979596)","(0.6716842540864887, 0.3283157459135113)"
Ц,60.0,0.2777777777777778,"(5.466666666666667, 10.333333333333334)","(0.40606060606060607, 0.5490196078431373)","(749.333333333333, 688.9333333333333)","(0.520997496987114, 0.47900250301288594)"
Ч,53.0,0.3212121212121212,"(6.037735849056604, 8.49056603773585)","(0.5037735849056604, 0.5350404312668464)","(431.245283018868, 411.92452830188677)","(0.5114572144647334, 0.4885427855352667)"
Ш,89.0,0.39555555555555555,"(7.303370786516854, 9.606741573033707)","(0.45024077046548955, 0.6147672552166934)","(983.2359550561794, 1606.8089887640451)","(0.3796211943743112, 0.6203788056256888)"
Щ,95.0,0.35185185185185186,"(7.705263157894737, 9.936842105263159)","(0.4789473684210526, 0.5256965944272446)","(1143.62105263158, 1835.7473684210518)","(0.3838468061051445, 0.6161531938948556)"
Ъ,52.0,0.28888888888888886,"(5.346153846153846, 9.653846153846153)","(0.39510489510489505, 0.618131868131868)","(501.7692307692308, 327.7692307692308)","(0.6048775964391692, 0.39512240356083084)"
Ы,70.0,0.358974358974359,"(5.814285714285714, 9.742857142857142)","(0.40119047619047615, 0.6244897959183673)","(623.3714285714283, 972.5857142857142)","(0.39059409042491283, 0.6094059095750871)"
Ь,48.0,0.32,"(3.6666666666666665, 10.083333333333334)","(0.2962962962962963, 0.6488095238095238)","(385.66666666666674, 262.66666666666674)","(0.5948586118251927, 0.4051413881748072)"
Э,58.0,0.3515151515151515,"(5.431034482758621, 9.120689655172415)","(0.4431034482758621, 0.5800492610837439)","(600.1551724137934, 368.22413793103453)","(0.6197521632304241, 0.38024783676957585)"
Ю,83.0,0.3688888888888889,"(7.0, 9.120481927710843)","(0.42857142857142855, 0.5800344234079173)","(810.7951807228915, 1530.0)","(0.34637596121182174, 0.6536240387881783)"
Я,57.0,0.38,"(4.859649122807017, 8.649122807017545)","(0.42884990253411304, 0.5463659147869675)","(558.9824561403508, 338.8771929824563)","(0.6225721989917542, 0.3774278010082459)"
