,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
A,37.0,0.3425925925925926,"(4.162162162162162, 5.378378378378378)","(0.3952702702702703, 0.398034398034398)","(586.7027027027025, 227.02702702702706)","(0.7210043842168193, 0.27899561578318066)"
B,31.0,0.28703703703703703,"(3.7096774193548385, 6.419354838709677)","(0.3387096774193548, 0.4926686217008797)","(379.5483870967743, 206.38709677419354)","(0.6477648095133232, 0.3522351904866769)"
C,24.0,0.25,"(2.75, 5.5)","(0.25, 0.4090909090909091)","(506.0, 108.5)","(0.8234336859235151, 0.17656631407648496)"
D,29.0,0.3020833333333333,"(3.7586206896551726, 6.379310344827586)","(0.39408866995073893, 0.4890282131661442)","(346.82758620689674, 139.31034482758622)","(0.7134345297205278, 0.28656547027947216)"
E,34.0,0.3541666666666667,"(3.3529411764705883, 5.5588235294117645)","(0.33613445378151263, 0.4144385026737968)","(520.3823529411764, 151.76470588235296)","(0.7742090753949153, 0.22579092460508474)"
F,24.0,0.25,"(2.75, 4.75)","(0.25, 0.3409090909090909)","(348.5, 108.5)","(0.762582056892779, 0.237417943107221)"
G,34.0,0.3541666666666667,"(3.6470588235294117, 5.5588235294117645)","(0.37815126050420167, 0.4144385026737968)","(520.3823529411764, 151.76470588235296)","(0.7742090753949153, 0.22579092460508474)"
H,29.0,0.26851851851851855,"(4.0, 5.931034482758621)","(0.375, 0.4482758620689655)","(311.8620689655172, 226.0)","(0.5798179253750481, 0.42018207462495194)"
I,11.0,0.3055555555555556,"(1.0, 5.818181818181818)","(0.0, 0.4380165289256199)","(129.63636363636363, 0.0)","(1.0, 0.0)"
J,20.0,0.20833333333333334,"(4.5, 7.4)","(0.5, 0.5818181818181819)","(260.80000000000007, 85.0)","(0.7541931752458069, 0.24580682475419313)"
K,35.0,0.29914529914529914,"(3.3714285714285714, 6.3428571428571425)","(0.29642857142857143, 0.4452380952380952)","(373.88571428571447, 166.17142857142858)","(0.6923076923076924, 0.3076923076923076)"
L,17.0,0.17708333333333334,"(1.8823529411764706, 7.117647058823529)","(0.12605042016806722, 0.5561497326203209)","(249.76470588235296, 41.76470588235294)","(0.8567393058918482, 0.14326069410815173)"
M,35.0,0.3645833333333333,"(3.5142857142857142, 4.257142857142857)","(0.35918367346938773, 0.2961038961038961)","(414.6857142857142, 164.7428571428571)","(0.7156804733727811, 0.28431952662721893)"
N,39.0,0.40625,"(3.4871794871794872, 5.615384615384615)","(0.3553113553113553, 0.41958041958041953)","(413.2307692307691, 169.74358974358978)","(0.7088318085855031, 0.29116819141449696)"
O,34.0,0.3148148148148148,"(4.0, 5.5)","(0.375, 0.4090909090909091)","(588.5, 236.0)","(0.7137659187386295, 0.2862340812613705)"
P,29.0,0.3020833333333333,"(3.2413793103448274, 4.620689655172414)","(0.32019704433497537, 0.329153605015674)","(346.8275862068966, 139.31034482758628)","(0.7134345297205277, 0.2865654702794723)"
Q,29.0,0.3020833333333333,"(3.7586206896551726, 4.620689655172414)","(0.39408866995073893, 0.329153605015674)","(346.8275862068966, 139.31034482758628)","(0.7134345297205277, 0.2865654702794723)"
R,34.0,0.3541666666666667,"(3.5, 5.411764705882353)","(0.35714285714285715, 0.4010695187165776)","(474.2352941176471, 154.5)","(0.7542686064461804, 0.2457313935538195)"
S,30.0,0.2777777777777778,"(3.5, 6.0)","(0.3125, 0.45454545454545453)","(536.0, 157.5)","(0.7728911319394376, 0.22710886806056235)"
T,18.0,0.16666666666666666,"(4.0, 3.6666666666666665)","(0.375, 0.2424242424242424)","(264.0, 28.0)","(0.9041095890410958, 0.0958904109589041)"
U,28.0,0.2916666666666667,"(3.5, 6.285714285714286)","(0.35714285714285715, 0.4805194805194805)","(389.7142857142858, 155.0)","(0.7154471544715447, 0.2845528455284553)"
V,31.0,0.3229166666666667,"(3.4193548387096775, 5.354838709677419)","(0.3456221198156682, 0.39589442815249265)","(323.09677419354847, 85.54838709677416)","(0.7906536154089044, 0.20934638459109559)"
W,36.0,0.375,"(3.5, 6.833333333333333)","(0.35714285714285715, 0.5303030303030303)","(424.9999999999998, 165.0)","(0.7203389830508473, 0.27966101694915263)"
X,34.0,0.3541666666666667,"(3.6176470588235294, 5.794117647058823)","(0.3739495798319328, 0.43582887700534756)","(415.5588235294117, 96.02941176470591)","(0.8122915948028055, 0.1877084051971945)"
Y,30.0,0.3125,"(3.6666666666666665, 6.3)","(0.38095238095238093, 0.4818181818181818)","(380.30000000000007, 146.66666666666669)","(0.721677525460181, 0.2783224745398191)"
Z,32.0,0.2962962962962963,"(3.8125, 5.0625)","(0.3515625, 0.3693181818181818)","(567.875, 116.875)","(0.8293172690763052, 0.1706827309236948)"
