,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
A,181.0,0.34215500945179583,"(11.386740331491712, 13.475138121546962)","(0.4721245605223505, 0.5670517327975891)","(5937.138121546957, 4888.928176795578)","(0.5484113950471493, 0.4515886049528507)"
B,249.0,0.5413043478260869,"(9.068273092369479, 11.630522088353414)","(0.4246459522299726, 0.48320554947060973)","(11338.008032128499, 9003.839357429713)","(0.5573735666677194, 0.4426264333322805)"
C,149.0,0.29446640316205536,"(9.375838926174497, 11.697986577181208)","(0.39884947267497606, 0.48627211714460034)","(8393.40939597315, 5268.953020134229)","(0.614345392132012, 0.38565460786798805)"
D,191.0,0.3610586011342155,"(11.026178010471204, 11.057591623036648)","(0.45573536411232746, 0.4571632555925749)","(9994.36649214661, 7142.869109947646)","(0.5831959555323641, 0.4168040444676358)"
E,191.0,0.43707093821510296,"(6.675392670157068, 11.586387434554974)","(0.31529959278650377, 0.4811994288434079)","(10386.324607329843, 4203.874345549741)","(0.7118699779813458, 0.28813002201865423)"
F,151.0,0.38618925831202044,"(5.569536423841059, 9.14569536423841)","(0.2855960264900662, 0.370258880192655)","(6002.794701986757, 2741.0198675496695)","(0.6865189848490817, 0.3134810151509184)"
G,180.0,0.3557312252964427,"(11.011111111111111, 11.955555555555556)","(0.4767195767195767, 0.49797979797979797)","(8567.644444444446, 7693.977777777775)","(0.5268628386125207, 0.47313716138747935)"
H,194.0,0.40165631469979296,"(9.896907216494846, 11.293814432989691)","(0.4448453608247423, 0.467900656044986)","(6268.252577319592, 11081.938144329899)","(0.3612785979060215, 0.6387214020939784)"
I,88.0,0.7652173913043478,"(2.5, 11.5)","(0.375, 0.4772727272727273)","(3542.0, 110.0)","(0.9698795180722891, 0.030120481927710843)"
J,113.0,0.289002557544757,"(11.486725663716815, 12.283185840707965)","(0.6554203539823009, 0.5128720836685439)","(6324.938053097352, 2044.2300884955764)","(0.7557427388349146, 0.2442572611650854)"
K,206.0,0.42650103519668736,"(8.29126213592233, 12.29611650485437)","(0.36456310679611653, 0.5134598411297441)","(7884.936893203881, 7122.524271844663)","(0.5254011192490983, 0.4745988807509018)"
L,124.0,0.3171355498721228,"(4.82258064516129, 14.258064516129032)","(0.23891129032258063, 0.6026392961876833)","(5871.741935483858, 2174.0967741935488)","(0.7297861848040056, 0.2702138151959944)"
M,231.0,0.3862876254180602,"(13.904761904761905, 10.80952380952381)","(0.5161904761904762, 0.44588744588744594)","(7195.619047619051, 15139.904761904769)","(0.32216029984265937, 0.6778397001573406)"
N,201.0,0.3799621928166352,"(11.835820895522389, 11.616915422885572)","(0.49253731343283585, 0.48258706467661694)","(7019.50248756218, 9813.582089552237)","(0.41700631012723677, 0.5829936898727633)"
O,197.0,0.3426086956521739,"(12.441624365482234, 11.52284263959391)","(0.4767343485617597, 0.47831102907245043)","(9153.147208121836, 11088.57868020304)","(0.4521920343463022, 0.5478079656536978)"
P,181.0,0.41418764302059496,"(7.287292817679558, 8.966850828729282)","(0.3492940454266421, 0.36212958312405824)","(6217.801104972375, 5599.060773480665)","(0.5261803995788393, 0.4738196004211606)"
Q,231.0,0.4017391304347826,"(13.225108225108226, 12.458874458874458)","(0.5093795093795094, 0.5208579299488391)","(10485.35930735933, 12370.29437229437)","(0.4587643588900495, 0.5412356411099506)"
R,225.0,0.4658385093167702,"(9.115555555555556, 10.577777777777778)","(0.4057777777777778, 0.4353535353535353)","(9322.888888888876, 8802.995555555568)","(0.5143411852515879, 0.48565881474841205)"
S,185.0,0.40217391304347827,"(9.902702702702703, 11.756756756756756)","(0.4685633001422475, 0.48894348894348894)","(8508.054054054044, 5082.248648648648)","(0.626038598269195, 0.3739614017308051)"
T,114.0,0.24782608695652175,"(10.0, 7.5)","(0.47368421052631576, 0.29545454545454547)","(5196.5, 1748.0)","(0.7482900136798906, 0.25170998632010944)"
U,160.0,0.31620553359683795,"(10.6125, 12.925)","(0.4577380952380953, 0.5420454545454546)","(6909.099999999996, 8835.975000000004)","(0.43881023113576756, 0.5611897688642323)"
V,148.0,0.27977315689981097,"(11.608108108108109, 11.114864864864865)","(0.4821867321867322, 0.4597665847665848)","(5589.0472972972975, 4823.270270270264)","(0.5367726503757573, 0.4632273496242428)"
W,270.0,0.37868162692847124,"(15.848148148148148, 11.518518518518519)","(0.49493827160493825, 0.47811447811447816)","(9381.407407407396, 16610.774074074077)","(0.3609318984669034, 0.6390681015330967)"
X,171.0,0.33794466403162055,"(10.883040935672515, 11.68421052631579)","(0.47062099693678644, 0.48564593301435405)","(7256.94736842105, 4527.660818713447)","(0.6157987820370312, 0.38420121796296874)"
Y,117.0,0.2543478260869565,"(9.982905982905983, 9.222222222222221)","(0.4727845254161044, 0.3737373737373737)","(3996.2222222222226, 2455.965811965815)","(0.6193592314804754, 0.38064076851952455)"
Z,180.0,0.391304347826087,"(9.75, 11.816666666666666)","(0.4605263157894737, 0.49166666666666664)","(11298.949999999999, 4053.75)","(0.735958495899744, 0.264041504100256)"
